Dấu thời gian,doi_tuong,dia_diem,mon_gioi,mon_yeu,diem_gan_nhat,to_hop_du_dinh,to_hop_clean,diem_du_doan,muc_dich,target_list,khao_khat_clean
2026/04/02 6:39:47 CH GMT+7,Lớp 10,Miền Nam,"['Toán', 'Lý', 'Anh']","['Tin', 'Sinh']",[8.0 - 9.0),A01,['A01'],[27 - 30],Xét tuyển bằng điểm thi THPTQG,['Vị thế tương đối'],Muốn đậu đại học
2026/04/02 6:40:50 CH GMT+7,Lớp 10,Miền Nam,['Anh'],"['Lý', 'Tin']",[8.0 - 9.0),D15,['D15'],[24 - 27),Lấy điểm để đi du học hoặc xét tuyển riêng.,"['Xác suất ""an toàn""']",Muốn biết đậu THPTQG
2026/04/02 7:00:48 CH GMT+7,Lớp 10,Miền Nam,['Địa'],"['Toán', 'Văn', 'Anh']",[7.0 - 8.0),"văn, toán, địa",['INVALID'],Khác,Xét tuyển bằng điểm thi THPTQG,"['Xác suất ""an toàn""']",
2026/04/02 7:01:22 CH GMT+7,Lớp 10,Miền Nam,"['Toán', 'Lý', 'Anh', 'Sinh']","['Văn', 'Sử']",[8.0 - 9.0),KHTN,['INVALID'],[27 - 30],Xét tuyển bằng điểm thi THPTQG,['Phân tích phổ điểm'],Không
2026/04/02 7:03:38 CH GMT+7,Lớp 10,Miền Nam,['Anh'],['Văn'],Mình ngại lắm / Không muốn trả lời,không biết,['INVALID'],Khác,Lấy điểm để đi du học hoặc xét tuyển riêng.,"['Vị thế tương đối', 'Xác suất ""an toàn""', 'Thứ hạng ước tính', 'Phân tích phổ điểm', 'So sánh tổ hợp']",
2026/04/02 7:19:23 CH GMT+7,Lớp 12,Miền Nam,"['Sinh', 'Sử', 'Công nghệ công nghiệp', 'Lý', 'Anh', 'Hóa', 'Toán', 'Địa', 'Tin']","['Văn', 'GDKT&PL (Hoặc GDCD)', 'Công nghệ nông nghiệp']",[9.0 - 10.0],A00,['A00'],[27 - 30],Lấy điểm để đi du học hoặc xét tuyển riêng.,"['Vị thế tương đối', 'Xác suất ""an toàn""', 'Thứ hạng ước tính', 'Phân tích phổ điểm', 'So sánh tổ hợp']",Top 1 của trường
2026/04/02 7:25:32 CH GMT+7,Lớp 10,Miền Nam,"['Toán', 'Lý', 'Anh']",['Văn'],Mình đang là học sinh lớp 10 nên chưa biết,"Toán , Vật lí, Tiếng anh",['INVALID'],[24 - 27),Xét tuyển bằng điểm thi THPTQG,['Thứ hạng ước tính'],"Không , mình chỉ cần đậu được trường mình ao ước"
2026/04/02 7:26:50 CH GMT+7,Lớp 10,Miền Nam,"['Sử', 'Văn', 'Lý', 'Anh', 'Địa']","['Toán', 'Tin']",Mình đang là học sinh lớp 10 nên chưa biết,"Anh, Địa, Văn",['INVALID'],[18 - 21),Xét tuyển bằng điểm thi THPTQG,"['Xác suất ""an toàn""']","tôi không, chỉ cần đậu trường mà tôi mong muốn là được"
2026/04/02 7:28:08 CH GMT+7,Lớp 10,Miền Nam,"['Toán', 'Văn', 'Tin', 'Địa']","['Toán', 'GDKT&PL (Hoặc GDCD)', 'Anh']",[8.0 - 9.0),C04,['C04'],[24 - 27),Xét tuyển bằng điểm thi THPTQG,"['Xác suất ""an toàn""']",
2026/04/02 7:28:24 CH GMT+7,Lớp 10,Miền Trung,"['Văn', 'GDKT&PL (Hoặc GDCD)', 'Anh']",['Toán'],[9.0 - 10.0],Toán văn anh gdktpl,['INVALID'],[24 - 27),Xét tuyển bằng điểm thi THPTQG,['Thứ hạng ước tính'],Thủ khoa
2026/04/02 7:28:34 CH GMT+7,Lớp 10,Miền Nam,['Anh'],['Văn'],[9.0 - 10.0],A01 và D01,"['A01', 'D01']",[24 - 27),Xét tuyển bằng điểm thi THPTQG,['Phân tích phổ điểm'],muốn biết mình thuộc top 50 tỉnh và top 5 trường hay ko
2026/04/02 7:30:11 CH GMT+7,Lớp 10,Miền Nam,"['Toán', 'Anh']","['Văn', 'Lý']",Mình đang là học sinh lớp 10 nên chưa biết,"Toán , Vật Lý, Tiếng Anh",['INVALID'],[24 - 27),Xét tuyển bằng điểm thi THPTQG,"['Xác suất ""an toàn""']","Không, Mình chỉ muốn đậu vào trường Đại học mình ao ước"
2026/04/02 7:31:08 CH GMT+7,Lớp 10,Miền Nam,"['Toán', 'Lý', 'Hóa', 'Sinh']","['Địa', 'GDKT&PL (Hoặc GDCD)', 'Tin']",[7.0 - 8.0),Lý hoá sinh,['INVALID'],[21 - 24),Xét tuyển bằng điểm thi THPTQG,"['Xác suất ""an toàn""']",
2026/04/02 7:32:39 CH GMT+7,Lớp 10,Miền Nam,"['Toán', 'Văn', 'Anh']","['Lý', 'Hóa', 'Sinh']",[8.0 - 9.0),A01,['A01'],[27 - 30],Lấy điểm để đi du học hoặc xét tuyển riêng.,['Phân tích phổ điểm'],muốn so sánh điểm với bạn bè một cách ẩn danh
2026/04/02 7:55:42 CH GMT+7,Lớp 10,Miền Trung,['Địa'],"['Toán', 'Anh', 'Tin']",[7.0 - 8.0),toán anh địa,['INVALID'],Khác,Xét tuyển bằng điểm thi THPTQG,"['Xác suất ""an toàn""']",khoe mọi người
2026/04/02 8:26:06 CH GMT+7,Đã tốt nghiệp THPT,Miền Nam,"['Văn', 'GDKT&PL (Hoặc GDCD)']","['Toán', 'Lý', 'Hóa']",[6.0 - 7.0),Toán Văn Anh,['INVALID'],[18 - 21),Xét tuyển bằng điểm thi THPTQG,"['Vị thế tương đối', 'Xác suất ""an toàn""', 'Thứ hạng ước tính', 'Phân tích phổ điểm', 'So sánh tổ hợp']",Điểm Văn cao xíu cỡ 8.0
2026/04/02 9:08:10 CH GMT+7,Lớp 10,Miền Nam,"['Toán', 'Văn']","['Toán', 'Anh']",Mình đang là học sinh lớp 10 nên chưa biết,KHỐI D00,['D00'],[24 - 27),Đủ điều kiện xét học bạ / ĐGNL,"['Xác suất ""an toàn""']",
2026/04/02 9:10:29 CH GMT+7,Lớp 10,Miền Nam,"['Văn', 'Lý', 'Anh']",['Toán'],[8.0 - 9.0),Toán Lý Anh,['INVALID'],[21 - 24),Xét tuyển bằng điểm thi THPTQG,"['Xác suất ""an toàn""']",Dạ em không có ý kiến.
2026/04/02 9:15:56 CH GMT+7,Lớp 10,Miền Nam,"['Toán', 'Hóa', 'Sinh']",['Toán'],[8.0 - 9.0),B00-Toán Hóa Sinh,['B00'],[27 - 30],Đủ điều kiện xét học bạ / ĐGNL,['Vị thế tương đối'],
2026/04/02 9:49:39 CH GMT+7,Lớp 10,Miền Nam,['Toán'],['Anh'],[9.0 - 10.0],.,['INVALID'],[21 - 24),Xét tuyển bằng điểm thi THPTQG,['Vị thế tương đối'],
2026/04/02 10:02:02 CH GMT+7,Lớp 10,Miền Nam,"['Địa', 'Văn', 'Sử']","['Toán', 'Lý', 'Anh']",[7.0 - 8.0),khối C,['INVALID'],[24 - 27),Xét tuyển bằng điểm thi THPTQG,"['Phân tích phổ điểm', 'So sánh tổ hợp']",thi tốt là được
2026/04/02 10:30:55 CH GMT+7,Lớp 12,Miền Nam,['Toán'],['Hóa'],[8.0 - 9.0),Toán Lý Hoá,['INVALID'],[24 - 27),Xét tuyển bằng điểm thi THPTQG,"['Xác suất ""an toàn""']",
2026/04/02 10:31:31 CH GMT+7,Lớp 10,Miền Nam,"['Toán', 'Lý', 'Hóa']",['Văn'],Mình đang là học sinh lớp 10 nên chưa biết,A01,['A01'],[27 - 30],Đủ điều kiện xét học bạ / ĐGNL,"['Xác suất ""an toàn""']",
2026/04/02 10:35:29 CH GMT+7,Đã tốt nghiệp THPT,Miền Nam,"['Toán', 'Lý', 'Anh']","['Sử', 'Hóa', 'Sinh']",[8.0 - 9.0),toán lý anh,['INVALID'],[21 - 24),Xét tuyển bằng điểm thi THPTQG,"['Xác suất ""an toàn""']",
2026/04/02 10:35:31 CH GMT+7,Lớp 12,Miền Bắc,"['Anh', 'Hóa']","['Toán', 'Văn']",[9.0 - 10.0],D07,['D07'],[21 - 24),Xét tuyển bằng điểm thi THPTQG,"['Xác suất ""an toàn""']",
2026/04/02 10:44:42 CH GMT+7,Lớp 11,Miền Nam,"['Văn', 'Anh', 'Sử']","['Toán', 'Hóa', 'Sinh']",[9.0 - 10.0],"Văn, Sử, Anh",['INVALID'],[24 - 27),Xét tuyển bằng điểm thi THPTQG,"['Phân tích phổ điểm', 'So sánh tổ hợp']",Mình mong muốn điểm của mình có thể xét tuyển vào trường đại học mình muốn học nhất
2026/04/02 10:45:29 CH GMT+7,Lớp 12,Miền Nam,['Văn'],"['Toán', 'Hóa', 'Sinh']",[9.0 - 10.0],"Toán, Hóa, Sinh",['INVALID'],[24 - 27),Chỉ để xét tốt nghiệp THPT / Thi cho có,"['Xác suất ""an toàn""']",
2026/04/02 10:46:31 CH GMT+7,Lớp 11,Miền Nam,"['Văn', 'Anh', 'Sử']","['Sinh', 'GDKT&PL (Hoặc GDCD)', 'Lý', 'Hóa', 'Toán']",[9.0 - 10.0],"Văn, Sử, Anh",['INVALID'],[24 - 27),Xét tuyển bằng điểm thi THPTQG,"['Phân tích phổ điểm', 'So sánh tổ hợp']",Mình mong muốn đó là khi cầm kết quả của mình sẽ đậu vào trường mà mình mơ ước được bước vào để có thể bước tiếp và định hướng nghề nghiệp cho tương lai
2026/04/02 10:48:35 CH GMT+7,Lớp 10,Miền Nam,"['Toán', 'Lý', 'Anh']","['Văn', 'Tin', 'Hóa', 'Sinh']",[8.0 - 9.0),A01,['A01'],[27 - 30],Xét tuyển bằng điểm thi THPTQG,"['Xác suất ""an toàn""']",chỉ muốn biết mình có đậu được hay không
2026/04/02 11:40:28 CH GMT+7,Đã tốt nghiệp THPT,Miền Nam,"['Toán', 'Hóa', 'Sinh']","['Văn', 'Anh']",[8.0 - 9.0),Tự nhiên,['INVALID'],[24 - 27),Xét tuyển bằng điểm thi THPTQG,"['Xác suất ""an toàn""']",
2026/04/02 11:42:42 CH GMT+7,Đã tốt nghiệp THPT,Miền Nam,"['Địa', 'GDKT&PL (Hoặc GDCD)', 'Sử']","['Sinh', 'Lý', 'Anh', 'Hóa', 'Toán']","Khác (Cha mẹ, thầy cô,...)",D,['INVALID'],[27 - 30],Lấy điểm để đi du học hoặc xét tuyển riêng.,['Thứ hạng ước tính'],
2026/04/03 6:55:25 SA GMT+7,Lớp 10,Miền Bắc,"['Văn', 'Anh']","['Sinh', 'Công nghệ công nghiệp', 'Tin', 'Hóa', 'Toán', 'Địa']",Mình đang là học sinh lớp 10 nên chưa biết,Khối D,['INVALID'],[27 - 30],Xét tuyển bằng điểm thi THPTQG,"['Thứ hạng ước tính', 'Phân tích phổ điểm', 'So sánh tổ hợp']",
2026/04/03 8:40:03 SA GMT+7,Lớp 10,Miền Nam,"['Hóa', 'Sinh']","['Toán', 'Văn']",[8.0 - 9.0),"Toán, Hía , Sinh",['INVALID'],[24 - 27),Xét tuyển bằng điểm thi THPTQG,"['Xác suất ""an toàn""']",Muốn biết điểm số có khả năng đậu vào đại học mình mong muốn không và so sánh để biết năng lực mình ở mức độ nào.
2026/04/03 8:40:27 SA GMT+7,Lớp 10,Miền Nam,"['Sinh', 'Văn', 'Anh', 'Hóa', 'Tin', 'Toán']",['Địa'],[8.0 - 9.0),Tự nhiên,['INVALID'],[24 - 27),Xét tuyển bằng điểm thi THPTQG,"['Vị thế tương đối', 'Xác suất ""an toàn""', 'Thứ hạng ước tính']",Muốn biết kết quả xứng đáng với công sức rèn luyện học tập của mình không .
2026/04/03 9:55:35 SA GMT+7,Đã tốt nghiệp THPT,Miền Nam,"['Toán', 'Lý', 'Anh', 'Hóa']","['Địa', 'Sử', 'Sinh']",[8.0 - 9.0),A00,['A00'],[24 - 27),Chỉ để xét tốt nghiệp THPT / Thi cho có,"['Xác suất ""an toàn""']",
2026/04/03 10:17:06 SA GMT+7,Lớp 10,Miền Nam,['Văn'],"['Lý', 'Anh']",Mình đang là học sinh lớp 10 nên chưa biết,M03,['M03'],[24 - 27),Đủ điều kiện xét học bạ / ĐGNL,"['Xác suất ""an toàn""']",Chỉ muốn đậu đại học và không có mong muốn nào khác
2026/04/03 10:34:14 SA GMT+7,Lớp 10,Miền Nam,"['Toán', 'Văn', 'Anh']",['Toán'],[8.0 - 9.0),D01,['D01'],[27 - 30],Xét tuyển bằng điểm thi THPTQG,"['Xác suất ""an toàn""']",
2026/04/03 11:03:59 SA GMT+7,Lớp 10,Miền Nam,"['Toán', 'Anh', 'Tin']","['Toán', 'Lý', 'Hóa']",[8.0 - 9.0),"A00, A01, A0T","['A00', 'A01']",[24 - 27),Xét tuyển bằng điểm thi THPTQG,"['Vị thế tương đối', 'Xác suất ""an toàn""', 'Phân tích phổ điểm', 'So sánh tổ hợp']",Muốn biết có danh sách lớp hay chưa:))
2026/04/03 11:10:57 SA GMT+7,Lớp 11,Miền Nam,"['Anh', 'Hóa']",['Toán'],[8.0 - 9.0),Toán Hoá Anh,['INVALID'],[24 - 27),Xét tuyển bằng điểm thi THPTQG,"['Xác suất ""an toàn""', 'Thứ hạng ước tính', 'Phân tích phổ điểm', 'So sánh tổ hợp']",Đậu trường top
2026/04/03 11:14:51 SA GMT+7,Lớp 10,Miền Nam,"['Địa', 'Sử']",['Anh'],[8.0 - 9.0),Toán Địa Năng Khiếu TDTT,['INVALID'],[24 - 27),Xét tuyển bằng điểm thi THPTQG,['Phân tích phổ điểm'],
2026/04/03 11:20:27 SA GMT+7,Lớp 10,Miền Nam,"['Địa', 'Văn']",['Toán'],[6.0 - 7.0),"văn,sử,địa",['INVALID'],[21 - 24),Xét tuyển bằng điểm thi THPTQG,"['Xác suất ""an toàn""']",
2026/04/03 11:20:56 SA GMT+7,Lớp 10,Miền Nam,['Anh'],"['Sinh', 'Sử', 'Văn', 'GDKT&PL (Hoặc GDCD)', 'Công nghệ công nghiệp', 'Công nghệ nông nghiệp', 'Lý', 'Hóa', 'Tin', 'Toán', 'Địa']",[8.0 - 9.0),A01 và D01,"['A01', 'D01']",[27 - 30],Xét tuyển bằng điểm thi THPTQG,"['Xác suất ""an toàn""', 'Phân tích phổ điểm']",em chỉ muốn đậu thôi k cần top gì hết
2026/04/03 11:22:32 SA GMT+7,Lớp 10,Miền Nam,['Anh'],"['Sinh', 'Sử', 'Văn', 'GDKT&PL (Hoặc GDCD)', 'Công nghệ công nghiệp', 'Công nghệ nông nghiệp', 'Lý', 'Hóa', 'Tin', 'Toán', 'Địa']",[8.0 - 9.0),D01 và A01,"['D01', 'A01']",[27 - 30],Xét tuyển bằng điểm thi THPTQG,"['Xác suất ""an toàn""', 'So sánh tổ hợp']",em chỉ muốn đậu đại học
2026/04/03 11:33:07 SA GMT+7,Lớp 10,Miền Nam,"['Văn', 'GDKT&PL (Hoặc GDCD)', 'Sử']","['Toán', 'Hóa']",[8.0 - 9.0),D01 - C03,"['D01', 'C03']",[21 - 24),Xét tuyển bằng điểm thi THPTQG,"['Vị thế tương đối', 'Xác suất ""an toàn""', 'Thứ hạng ước tính', 'Phân tích phổ điểm', 'So sánh tổ hợp']",
2026/04/03 12:45:18 CH GMT+7,Đã tốt nghiệp THPT,Miền Nam,"['Toán', 'Lý', 'Anh', 'Hóa']","['Địa', 'Văn', 'Sử']",[8.0 - 9.0),A00,['A00'],[24 - 27),Lấy điểm để đi du học hoặc xét tuyển riêng.,"['Xác suất ""an toàn""']",
2026/04/03 4:06:41 CH GMT+7,Lớp 10,Miền Nam,['Toán'],['Anh'],[8.0 - 9.0),D01,['D01'],[21 - 24),Xét tuyển bằng điểm thi THPTQG,"['Vị thế tương đối', 'Xác suất ""an toàn""']",
2026/04/03 4:16:02 CH GMT+7,Lớp 10,Miền Nam,['Anh'],"['Toán', 'Lý']",[8.0 - 9.0),A01 và D01,"['A01', 'D01']",[21 - 24),Xét tuyển bằng điểm thi THPTQG,"['Xác suất ""an toàn""']",mình mong đạt điểm cao trong dự tính để đậu nv1
2026/04/03 4:49:25 CH GMT+7,Lớp 10,Miền Nam,"['Văn', 'GDKT&PL (Hoặc GDCD)', 'Sử']","['Toán', 'Lý']",[9.0 - 10.0],Văn - Sử - Toán,['INVALID'],Khác,Xét tuyển bằng điểm thi THPTQG,"['Xác suất ""an toàn""']",Đậu hay không
2026/04/03 5:07:18 CH GMT+7,Lớp 10,Miền Nam,"['Toán', 'Văn', 'Anh']","['Lý', 'Hóa', 'Sinh']",Mình đang là học sinh lớp 10 nên chưa biết,DO1,['INVALID'],[27 - 30],Lấy điểm để đi du học hoặc xét tuyển riêng.,['Thứ hạng ước tính'],
2026/04/03 5:08:21 CH GMT+7,Lớp 10,Miền Nam,"['Văn', 'Anh', 'Hóa']","['Công nghệ công nghiệp', 'GDKT&PL (Hoặc GDCD)', 'Sinh']",[9.0 - 10.0],A00,['A00'],[27 - 30],Xét tuyển bằng điểm thi THPTQG,"['Xác suất ""an toàn""']",
2026/04/03 6:26:20 CH GMT+7,Lớp 10,Miền Nam,"['Văn', 'Anh']",['Toán'],[8.0 - 9.0),toán văn anh,['INVALID'],[27 - 30],Đủ điều kiện xét học bạ / ĐGNL,"['Xác suất ""an toàn""']",đậu đại học
2026/04/03 6:27:04 CH GMT+7,Lớp 10,Miền Nam,['Toán'],['Lý'],[8.0 - 9.0),toán văn anh,['INVALID'],[24 - 27),Đủ điều kiện xét học bạ / ĐGNL,"['Xác suất ""an toàn""']",đậu đại học
2026/04/03 6:34:19 CH GMT+7,Lớp 10,Miền Nam,['Địa'],"['Toán', 'Văn', 'Anh']",Mình ngại lắm / Không muốn trả lời,Địa lý ,['INVALID'],Khác,Khác,"['Xác suất ""an toàn""']",muốn trên trung bình là được
2026/04/03 6:37:31 CH GMT+7,Lớp 11,Miền Nam,"['Địa', 'Anh', 'Sử']","['Công nghệ công nghiệp', 'Công nghệ nông nghiệp', 'Tin']",[6.0 - 7.0),C00,['C00'],Khác,Xét tuyển bằng điểm thi THPTQG,['Thứ hạng ước tính'],Muốn biết có thuộc Top không
2026/04/03 7:27:20 CH GMT+7,Lớp 10,Miền Nam,['Sinh'],['Toán'],[7.0 - 8.0),Toán - Hoá - Sinh,['INVALID'],[27 - 30],Xét tuyển bằng điểm thi THPTQG,"['Xác suất ""an toàn""', 'Phân tích phổ điểm', 'So sánh tổ hợp']",Xem bản thân có đủ điều kiện để đạt được nguyện vọng hay không.
2026/04/03 8:27:59 CH GMT+7,Lớp 11,Miền Nam,['Toán'],['Lý'],[8.0 - 9.0),Toán Lí Hoá,['INVALID'],[18 - 21),Đủ điều kiện xét học bạ / ĐGNL,"['Vị thế tương đối', 'Phân tích phổ điểm', 'So sánh tổ hợp']",
2026/04/03 8:29:19 CH GMT+7,Lớp 11,Miền Nam,['Toán'],"['Lý', 'Anh']",Mình ngại lắm / Không muốn trả lời,Toán Lí Hoá,['INVALID'],[18 - 21),Đủ điều kiện xét học bạ / ĐGNL,['So sánh tổ hợp'],
2026/04/03 9:27:40 CH GMT+7,Lớp 10,Miền Nam,"['Toán', 'Văn', 'Anh']","['Lý', 'Hóa', 'Sinh']",[7.0 - 8.0),toán văn anh,['INVALID'],[24 - 27),Đủ điều kiện xét học bạ / ĐGNL,"['Xác suất ""an toàn""']",
2026/04/03 9:43:41 CH GMT+7,Lớp 10,Miền Nam,"['Toán', 'Lý', 'Hóa']","['Văn', 'Anh', 'Sinh']",[8.0 - 9.0),ko,['INVALID'],[24 - 27),Xét tuyển bằng điểm thi THPTQG,"['Xác suất ""an toàn""']",
2026/04/03 9:44:18 CH GMT+7,Lớp 10,Miền Nam,"['Toán', 'Lý', 'Anh']","['Văn', 'Hóa', 'Sinh']",[7.0 - 8.0),A01,['A01'],[21 - 24),Xét tuyển bằng điểm thi THPTQG,"['Xác suất ""an toàn""']",
2026/04/03 9:46:22 CH GMT+7,Lớp 10,Miền Nam,"['Toán', 'Lý', 'Anh']","['Sử', 'Hóa', 'Sinh']",[7.0 - 8.0),A01,['A01'],[24 - 27),Xét tuyển bằng điểm thi THPTQG,"['Xác suất ""an toàn""']",
2026/04/03 9:48:29 CH GMT+7,Lớp 10,Miền Nam,"['Toán', 'Văn', 'Anh']","['Lý', 'Hóa', 'Sinh']",[7.0 - 8.0),A01,['A01'],[21 - 24),Xét tuyển bằng điểm thi THPTQG,"['Xác suất ""an toàn""']",
2026/04/03 9:49:22 CH GMT+7,Lớp 10,Miền Nam,"['Toán', 'Lý', 'Hóa']",['Anh'],[8.0 - 9.0),A00,['A00'],[21 - 24),Xét tuyển bằng điểm thi THPTQG,"['Xác suất ""an toàn""']",Muốn vào được trường mong muốn là đủ
2026/04/03 9:51:43 CH GMT+7,Đã tốt nghiệp THPT,Miền Nam,"['Toán', 'Văn', 'Anh']","['Lý', 'Hóa', 'Sinh']",[6.0 - 7.0),A00,['A00'],[18 - 21),Lấy điểm để đi du học hoặc xét tuyển riêng.,['Thứ hạng ước tính'],Muốn đậu visa Du Học Úc🩷
2026/04/03 9:53:06 CH GMT+7,Lớp 10,Miền Nam,"['Toán', 'Hóa', 'Sinh']","['Lý', 'Anh', 'Tin']",Mình đang là học sinh lớp 10 nên chưa biết,Toán văn hoá sinh,['INVALID'],[21 - 24),Xét tuyển bằng điểm thi THPTQG,"['Xác suất ""an toàn""']",
2026/04/03 9:54:51 CH GMT+7,Lớp 10,Miền Nam,['Văn'],"['Sinh', 'Sử', 'Lý', 'Anh', 'Hóa', 'Toán', 'Tin']",Mình đang là học sinh lớp 10 nên chưa biết,Chưa biết rõ,['INVALID'],[24 - 27),Đủ điều kiện xét học bạ / ĐGNL,"['Vị thế tương đối', 'Xác suất ""an toàn""', 'Thứ hạng ước tính', 'Phân tích phổ điểm', 'So sánh tổ hợp']",
2026/04/03 9:57:57 CH GMT+7,Lớp 10,Miền Nam,"['Toán', 'Văn']","['Lý', 'Anh']",[7.0 - 8.0),A00,['A00'],[21 - 24),Lấy điểm để đi du học hoặc xét tuyển riêng.,['So sánh tổ hợp'],chứng minh bản thân mình đã làm được chưa
2026/04/03 9:59:16 CH GMT+7,Lớp 12,Miền Nam,"['Sử', 'Văn', 'Lý', 'Anh', 'Địa']","['Toán', 'Tin']",Mình ngại lắm / Không muốn trả lời,D01 A01,"['D01', 'A01']",[24 - 27),Xét tuyển bằng điểm thi THPTQG,"['Vị thế tương đối', 'Xác suất ""an toàn""', 'Thứ hạng ước tính', 'Phân tích phổ điểm', 'So sánh tổ hợp']",Muốn thuộc top 100 nha
2026/04/03 10:00:27 CH GMT+7,Lớp 10,Miền Nam,"['Toán', 'Anh']","['Toán', 'Hóa', 'Sinh']",[9.0 - 10.0],Toán - Hoá - Sinh,['INVALID'],[24 - 27),Xét tuyển bằng điểm thi THPTQG,"['Xác suất ""an toàn""']",
2026/04/03 10:01:47 CH GMT+7,Lớp 10,Miền Nam,"['Sử', 'Văn', 'Lý', 'Anh', 'Địa']","['Toán', 'Tin']",[8.0 - 9.0),D01 A01,"['D01', 'A01']",[24 - 27),Khác,"['Vị thế tương đối', 'Xác suất ""an toàn""', 'Thứ hạng ước tính', 'Phân tích phổ điểm', 'So sánh tổ hợp']",Muốn thuộc top 100 nha
2026/04/03 10:03:31 CH GMT+7,Lớp 10,Miền Trung,"['Sinh', 'Sử', 'Văn', 'GDKT&PL (Hoặc GDCD)', 'Công nghệ công nghiệp', 'Lý', 'Anh', 'Hóa', 'Toán', 'Địa', 'Tin']",['Công nghệ nông nghiệp'],Mình ngại lắm / Không muốn trả lời,D01,['D01'],[27 - 30],Lấy điểm để đi du học hoặc xét tuyển riêng.,"['Vị thế tương đối', 'Xác suất ""an toàn""', 'Thứ hạng ước tính', 'Phân tích phổ điểm', 'So sánh tổ hợp']",Biết mình ở vị trí top 100 TP hay không
2026/04/03 10:31:21 CH GMT+7,Lớp 10,Miền Trung,"['Sử', 'Văn', 'Anh', 'Tin', 'Toán', 'Địa']","['Sinh', 'GDKT&PL (Hoặc GDCD)', 'Công nghệ công nghiệp', 'Công nghệ nông nghiệp', 'Lý', 'Hóa']",Mình đang là học sinh lớp 10 nên chưa biết,D01,['D01'],[21 - 24),Xét tuyển bằng điểm thi THPTQG,"['Thứ hạng ước tính', 'Phân tích phổ điểm']",
2026/04/03 10:49:21 CH GMT+7,Lớp 10,Miền Nam,['Hóa'],['Toán'],Mình đang là học sinh lớp 10 nên chưa biết,D07,['D07'],[21 - 24),Xét tuyển bằng điểm thi THPTQG,"['Vị thế tương đối', 'Xác suất ""an toàn""']",
2026/04/03 10:51:29 CH GMT+7,Lớp 10,Miền Nam,"['Toán', 'Anh']","['Toán', 'Lý']",[8.0 - 9.0),A01 và D01,"['A01', 'D01']",[21 - 24),Xét tuyển bằng điểm thi THPTQG,"['Xác suất ""an toàn""']",muốn so sánh điểm với bạn bè một cách ẩn danh
2026/04/04 3:53:08 SA GMT+7,Lớp 10,Miền Nam,['Hóa'],['Toán'],[8.0 - 9.0),A00,['A00'],[27 - 30],Xét tuyển bằng điểm thi THPTQG,"['Xác suất ""an toàn""']",
2026/04/04 10:43:44 SA GMT+7,Lớp 10,Miền Nam,['Văn'],"['GDKT&PL (Hoặc GDCD)', 'Công nghệ công nghiệp', 'Công nghệ nông nghiệp', 'Lý', 'Anh', 'Hóa', 'Toán', 'Địa', 'Tin']",[7.0 - 8.0),"Văn, toán, sử anh hoặc văn, toán, sử, địa",['INVALID'],[15 - 18),Đủ điều kiện xét học bạ / ĐGNL,"['Vị thế tương đối', 'Xác suất ""an toàn""', 'Thứ hạng ước tính', 'Phân tích phổ điểm', 'So sánh tổ hợp']",
2026/04/04 12:52:14 CH GMT+7,Lớp 10,Miền Nam,['Anh'],"['Toán', 'Lý', 'Tin']",[7.0 - 8.0),"Tiếng anh, Văn,sử",['INVALID'],[24 - 27),Lấy điểm để đi du học hoặc xét tuyển riêng.,"['Xác suất ""an toàn""']",Ko biết
2026/04/04 1:06:04 CH GMT+7,Lớp 10,Miền Nam,"['Toán', 'Lý', 'Anh']","['Sử', 'Sinh', 'GDKT&PL (Hoặc GDCD)', 'Công nghệ công nghiệp', 'Công nghệ nông nghiệp', 'Hóa', 'Địa']",[6.0 - 7.0),A01,['A01'],[24 - 27),Lấy điểm để đi du học hoặc xét tuyển riêng.,['Phân tích phổ điểm'],
2026/04/04 1:06:07 CH GMT+7,Lớp 10,Miền Nam,"['Toán', 'Địa']",['Anh'],[8.0 - 9.0),c04,['C04'],[24 - 27),Xét tuyển bằng điểm thi THPTQG,['Phân tích phổ điểm'],có trong danh sách điểm cao ở trường
2026/04/04 2:04:55 CH GMT+7,Lớp 10,Miền Nam,"['Địa', 'Văn', 'Sử']","['Toán', 'Anh']",[7.0 - 8.0),D14,['D14'],[24 - 27),Xét tuyển bằng điểm thi THPTQG,['Thứ hạng ước tính'],
2026/04/05 4:42:14 CH GMT+7,Lớp 12,Miền Nam,"['Toán', 'Hóa', 'Sinh']",['Văn'],[9.0 - 10.0],Toán Hoá Sinh,['INVALID'],[27 - 30],Xét tuyển bằng điểm thi THPTQG,"['Vị thế tương đối', 'Thứ hạng ước tính']",
2026/04/05 5:25:39 CH GMT+7,Đã tốt nghiệp THPT,Miền Bắc,"['Toán', 'Lý', 'Anh']","['Toán', 'Văn']",[8.0 - 9.0),A01,['A01'],[24 - 27),Xét tuyển bằng điểm thi THPTQG,"['Xác suất ""an toàn""']",
2026/04/05 6:43:44 CH GMT+7,Lớp 10,Miền Nam,['Anh'],"['Toán', 'Văn', 'Sinh']",[9.0 - 10.0],"D01, B08","['D01', 'B08']",[24 - 27),Xét tuyển bằng điểm thi THPTQG,"['Vị thế tương đối', 'Xác suất ""an toàn""', 'Thứ hạng ước tính', 'So sánh tổ hợp']","Muốn biết mình thuộc top mấy của tỉnh, muốn biết điểm của các bạn một cách ẩn danh"
