Dấu thời gian,doi_tuong,dia_diem,mon_gioi,mon_yeu,diem_gan_nhat,to_hop_du_dinh,to_hop_clean,diem_du_doan,muc_dich,target_list,khao_khat_clean
2026/04/02 11:38:16 SA GMT+7,Lớp 10,Miền Nam,[],[],[9.0 - 10.0],A00,['A00'],[27 - 30],Chỉ để xét tốt nghiệp THPT / Thi cho có,['Vị thế tương đối'],Top 1 tphcm
2026/04/02 11:39:05 SA GMT+7,Lớp 10,Miền Nam,['Văn'],['Lý'],Mình ngại lắm / Không muốn trả lời,Tổ hợp D,['INVALID'],[24 - 27),Xét tuyển bằng điểm thi THPTQG,"['Xác suất ""an toàn""']",
2026/04/02 11:39:38 SA GMT+7,Lớp 11,Miền Nam,['Hóa'],"['Toán', 'Lý']",[9.0 - 10.0],"Toán, lý, hoá",['INVALID'],[24 - 27),Xét tuyển bằng điểm thi THPTQG,"['Vị thế tương đối', 'Xác suất ""an toàn""', 'Thứ hạng ước tính', 'Phân tích phổ điểm', 'So sánh tổ hợp']",
2026/04/02 11:40:04 SA GMT+7,Lớp 10,Miền Nam,['Hóa'],"['Toán', 'Lý']",[9.0 - 10.0],Toán Lý Hóa,['INVALID'],[24 - 27),Xét tuyển bằng điểm thi THPTQG,"['Xác suất ""an toàn""']",
2026/04/02 11:41:08 SA GMT+7,Lớp 10,Miền Nam,"['Toán', 'Lý', 'Hóa']","['Sử', 'Văn', 'GDKT&PL (Hoặc GDCD)', 'Công nghệ công nghiệp', 'Công nghệ nông nghiệp', 'Địa']",Mình đang là học sinh lớp 10 nên chưa biết,A00,['A00'],[24 - 27),Xét tuyển bằng điểm thi THPTQG,['Phân tích phổ điểm'],Muốn biết mình có thuộc Top 100 của tỉnh không
2026/04/02 11:41:17 SA GMT+7,Lớp 10,Miền Nam,"['Hóa', 'Sinh']",['Toán'],[7.0 - 8.0),B00,['B00'],[18 - 21),Xét tuyển bằng điểm thi THPTQG,['Vị thế tương đối'],
2026/04/02 11:42:02 SA GMT+7,Lớp 10,Miền Nam,"['Hóa', 'Sinh']",['Lý'],[8.0 - 9.0),"Toán, Lý Hóa",['INVALID'],[24 - 27),Khác,"['Xác suất ""an toàn""']",
2026/04/02 11:42:26 SA GMT+7,Đã tốt nghiệp THPT,Miền Nam,"['Công nghệ công nghiệp', 'Lý']",['Địa'],[9.0 - 10.0],Toán văn anh,['INVALID'],[18 - 21),Lấy điểm để đi du học hoặc xét tuyển riêng.,['Thứ hạng ước tính'],
2026/04/02 11:42:38 SA GMT+7,Lớp 10,Miền Nam,"['Địa', 'Anh']","['Sử', 'Sinh']",[8.0 - 9.0),chưa biết,['INVALID'],[24 - 27),Lấy điểm để đi du học hoặc xét tuyển riêng.,['Phân tích phổ điểm'],
2026/04/02 11:42:43 SA GMT+7,Lớp 12,Miền Nam,['Địa'],"['Toán', 'Văn', 'Sử']",[8.0 - 9.0),"C00 , C04 , A07","['C00', 'C04', 'A07']",[24 - 27),Xét tuyển bằng điểm thi THPTQG,"['Vị thế tương đối', 'Xác suất ""an toàn""']",khao khát được nhìn thấy số điểm đã mơ ước
2026/04/02 11:42:49 SA GMT+7,Lớp 10,Miền Nam,['Anh'],"['Toán', 'Sinh']",Mình đang là học sinh lớp 10 nên chưa biết,B08,['B08'],[24 - 27),Đủ điều kiện xét học bạ / ĐGNL,"['Xác suất ""an toàn""']",
2026/04/02 11:44:33 SA GMT+7,Lớp 10,Miền Nam,"['Toán', 'Hóa', 'Sinh']",['Toán'],[8.0 - 9.0),b00,['B00'],[24 - 27),Xét tuyển bằng điểm thi THPTQG,['Vị thế tương đối'],
2026/04/02 11:45:36 SA GMT+7,Lớp 10,Miền Nam,"['Toán', 'Lý', 'Anh', 'Tin']","['Văn', 'GDKT&PL (Hoặc GDCD)', 'Công nghệ nông nghiệp', 'Hóa']",[9.0 - 10.0],"A01, A00","['A01', 'A00']",[24 - 27),Đủ điều kiện xét học bạ / ĐGNL,"['Vị thế tương đối', 'Xác suất ""an toàn""', 'Phân tích phổ điểm', 'So sánh tổ hợp']",
2026/04/02 11:45:52 SA GMT+7,Lớp 10,Miền Nam,"['Văn', 'Hóa']","['Toán', 'Lý', 'Anh', 'Tin']",[7.0 - 8.0),A00 ạ,['A00'],[21 - 24),Xét tuyển bằng điểm thi THPTQG,"['Xác suất ""an toàn""']",Muốn so sánh điểm với ban bè môt cách ẩn danh
2026/04/02 11:47:22 SA GMT+7,Lớp 10,Miền Nam,['Toán'],['Anh'],Mình đang là học sinh lớp 10 nên chưa biết,"Toán , Lí , Hoá",['INVALID'],Khác,Khác,"['Vị thế tương đối', 'Xác suất ""an toàn""', 'Thứ hạng ước tính', 'Phân tích phổ điểm']",Mình muốn mình đậu
2026/04/02 11:47:39 SA GMT+7,Lớp 10,Miền Nam,['Hóa'],['Toán'],[7.0 - 8.0),A00,['A00'],[21 - 24),Xét tuyển bằng điểm thi THPTQG,"['Xác suất ""an toàn""']",
2026/04/02 11:50:04 SA GMT+7,Lớp 12,Miền Nam,"['Văn', 'Anh']","['Toán', 'Lý']",[8.0 - 9.0),Toán- vật lý-tiếng anh,['INVALID'],[24 - 27),Xét tuyển bằng điểm thi THPTQG,"['Vị thế tương đối', 'Phân tích phổ điểm', 'So sánh tổ hợp']",
2026/04/02 11:51:24 SA GMT+7,Lớp 10,Miền Nam,"['Toán', 'Hóa', 'Sinh']","['Văn', 'Lý']",[7.0 - 8.0),B00,['B00'],[24 - 27),Đủ điều kiện xét học bạ / ĐGNL,"['Xác suất ""an toàn""', 'So sánh tổ hợp']",Đậu đạt trường mong muốn
